nthreads,energy,time
172,308.15,2.35552
173,308.7,2.35693
174,304.35,2.30813
175,301.2,2.30378
176,311.45,2.37418
177,303.7,2.28488
178,296.5,2.26005
179,303.3,2.28581
180,302.7,2.30857
181,297.05,2.2569
182,297.6,2.24876
183,295.6,2.25292
184,296.45,2.24354
185,290.4,2.20157
186,297.1,2.25878
187,300.1,2.31266
188,306.9,2.34025
189,299.15,2.29434
190,288.65,2.2119
191,290.2,2.18876
192,295.45,2.22941
193,289.3,2.18607
194,289.45,2.18869
195,288.65,2.20439
196,283.95,2.19006
197,286.7,2.19869
198,282.25,2.17683
199,281.55,2.2024
200,280.75,2.2054
201,284.25,2.22507
202,289.8,2.2253
203,287.6,2.20901
204,287.9,2.1883
205,295.3,2.22502
206,294.2,2.25748
207,290.1,2.20415
208,294.9,2.23979
209,292.75,2.2587
210,298.3,2.22301
211,303.7,2.32636
212,292.75,2.2537
213,292.95,2.25394
214,296.9,2.24382
215,288.45,2.19431
216,295.65,2.27814
217,288.9,2.19612
218,297.15,2.27874
219,290.05,2.23447
220,289.4,2.25558
221,300.2,2.27772
222,286.05,2.20226
223,299.55,2.27633
224,284.75,2.19706
225,288,2.19399
226,305.75,2.32693
227,291.9,2.23284
228,286.75,2.20924
1,23737,236.037
2,12123.6,119.532
3,8070.9,79.0069
4,6306.2,61.5316
5,5064.7,49.0891
6,4253.55,40.7037
7,3529.75,33.5348
8,3190.65,30.2118
9,2845.1,26.7338
10,2524.45,23.6641
11,2338.95,21.5827
12,2144.5,19.6366
13,1981.6,18.1099
14,1885.55,17.1491
15,1780.15,16.0547
16,1645.2,14.7481
17,1595.75,14.228
18,1495.5,13.2805
19,1439.3,12.7163
20,1369.25,11.9816
21,1300.25,11.2893
22,1239.85,10.7484
23,1194.2,10.285
24,1158.55,9.94533
25,1182.15,10.15
26,1109.6,9.43349
27,1040.25,8.80803
28,1033.45,8.70466
29,979.85,8.19787
30,967.05,7.98645
31,933.4,7.6891
32,917.7,7.54848
33,877.8,7.20332
34,850.05,6.9528
